,CS Schools,City,School,Class,Gender,Grade,Math_selfefficacy,Tablets_utility,CS_utility,Tablets_selfefficacy,Robots_interest,Tablets_interest,CS_selfefficacy,General_selfefficacy,Robots_utility,Robots_selfefficacy,CS_interest,Sport_selfefficacy,French_selfefficacy,Who_Teacher,Who_Mom,Who_Dad,Who_Student,Who_Other,Who_Nobody,General_selfefficacy,French_selfefficacy,Sport_selfefficacy,Math_selfefficacy
46,1,1,School_1,Class_3,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0,0.0,0,0,1,0,0,0,-1.0,0.0,2.0,2.0
47,1,1,School_1,Class_3,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0,1,0,0,0,0,1.0,2.0,2.0,2.0
48,0,0,School_2,Class_4,Boy,3,0.0,2.0,2.0,2.0,-1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0,1,1,1,1,0,2.0,0.0,2.0,0.0
49,0,0,School_2,Class_4,Girl,3,2.0,2.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,1,0,2.0,2.0,2.0,2.0
50,0,0,School_2,Class_4,Girl,3,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,0,0,0,0,0,2.0,2.0,2.0,2.0
51,0,0,School_2,Class_4,Girl,3,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1,1,1,1,1,0,2.0,1.0,1.0,2.0
52,0,0,School_2,Class_4,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,1,1,1,0,0,2.0,1.0,2.0,2.0
53,0,0,School_2,Class_4,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,1,1,1,0,2.0,2.0,2.0,2.0
54,0,0,School_2,Class_4,Boy,3,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,-2.0,2.0,2.0,2.0,2.0,0,1,1,0,0,0,1.0,2.0,2.0,1.0
55,0,0,School_2,Class_4,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,1,0,2.0,2.0,2.0,2.0
56,0,0,School_2,Class_4,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,1,0,2.0,2.0,2.0,2.0
57,0,0,School_2,Class_4,Boy,3,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,1.0,1,1,1,1,1,0,2.0,1.0,2.0,2.0
58,0,0,School_2,Class_4,Girl,3,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0,1,1,0,0,0,2.0,2.0,2.0,2.0
59,0,0,School_2,Class_4,Boy,3,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,1,0,2.0,2.0,2.0,2.0
60,0,0,School_2,Class_4,Boy,3,2.0,-2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0,1,1,1,0,0,0.0,1.0,2.0,2.0
