School Name,BRIN
Kindcentrum Bruchterveld,06RL
Kindcentrum Buitenrijck,30WX
Kindcentrum Carré,07VS
Kindcentrum Cascade,07SP
Kindcentrum Commissaris Gaarlandt,04HW
Kindcentrum Cornelis,07VV
Kindcentrum Cornelius,12AQ
Kindcentrum D'n Bogerd,16UU
Kindcentrum De Akker,04QE
Kindcentrum de Anna,06XP
Kindcentrum De Ark,11XI
Kindcentrum De Baanbreker,31VR
Kindcentrum De Bakelaar,06RW
Kindcentrum de Bareel,27YC
Kindcentrum De Berkenhorst,05ZH
Kindcentrum De Beuk,32FB
Kindcentrum De Bloemenhof,23RK
Kindcentrum de Bongerd,13BK
Kindcentrum De Boomgaard,31PU
Kindcentrum De Borg,21LS
Kindcentrum de Branding,03UC
Kindcentrum De Branding - Veller,32HV
Kindcentrum De Bron,08PF
Kindcentrum De Compaan,21EI
Kindcentrum de Doelakkers,11PP
Kindcentrum De Dompelaar,11WC
Kindcentrum De Driessen,09IW
Kindcentrum De Duif,08WB
Kindcentrum de Eik,08QS
Kindcentrum De Elsakker,10TP
Kindcentrum De Elzenhof,10NB
Kindcentrum De Eskampen,11IQ
Kindcentrum De Expeditie,21OV
Kindcentrum De Finne,12YL
Kindcentrum De Flint,13UC
Kindcentrum De Fontein,21OP
Kindcentrum De Groen,12PL
Kindcentrum De Havelt,12FR
Kindcentrum De Haven,18LT
Kindcentrum De Hekakker,09FV
Kindcentrum De Heydonck,07TT
Kindcentrum De Holtenhoek,07NN
Kindcentrum De Iekmulder,08ER
Kindcentrum De IJsvogel,13TT
Kindcentrum De IJsvogel,12RV
Kindcentrum De Kade,13OJ
Kindcentrum De Kastanjelaar,04SB
Kindcentrum De Kei,15PV
Kindcentrum De Kersentuin,12HB
Kindcentrum De Kiem,03TM
Kindcentrum de Kiezel,06LY
Kindcentrum De Klister,05RC
Kindcentrum De Kloostertuin,27WZ
Kindcentrum De Koningsberger,06UX
Kindcentrum De Lichtbaak,11KN
Kindcentrum De Linde,08YI
Kindcentrum De Marel,18SU
Kindcentrum De Marke,06LV
Kindcentrum De Marke,12UM
Kindcentrum De MarsWeijde,10YP
Kindcentrum De Minstreel,10QC
Kindcentrum De Molenwerf,10QF
Kindcentrum de Mortel,06HK
Kindcentrum De Nieuwe Linde,12FO
Kindcentrum de Noord,14BV
Kindcentrum De Notenbalk,22LK
Kindcentrum De Oersprong,03LK
Kindcentrum De Ontdekkers,24MZ
Kindcentrum de Ontdekking,08XV
Kindcentrum De Ontdekking,04TF
Kindcentrum De Ontdekking,09KU
Kindcentrum De Palster,12OS
Kindcentrum de Plataan,07QZ
Kindcentrum De Poolster,13QB
Kindcentrum De Raagten,10PE
Kindcentrum De Regenboog,09KO
Kindcentrum De Regenboog,10NY
Kindcentrum De Regenboog,12WZ
Kindcentrum de Rietgors,12EF
Kindcentrum de Rietkraag,12GH
Kindcentrum de Ruif,15JT
Kindcentrum De Samenstroom,10WW
Kindcentrum De Schans,06AQ
Kindcentrum De Scharmhof,12OR
Kindcentrum De Schutkampen,08PP
Kindcentrum De Sprankel,06WD
Kindcentrum De Spreng Barneveld,09YB
Kindcentrum De Spreng-El,05LY
Kindcentrum De Sprong,08YZ
Kindcentrum De Tandem,13GD
Kindcentrum De Tol,21QU
Kindcentrum De Vaart,12SY
Kindcentrum De Vallei,30VD
Kindcentrum De Vendelier,27JN
Kindcentrum De Veste,04QU
Kindcentrum De Vlieger,23TB
Kindcentrum De Vlier,06MF
Kindcentrum de Vliertuin,10JK
Kindcentrum De Vlinder,06LC
Kindcentrum de Vlinder,07NJ
Kindcentrum De Vlinder,10IE
Kindcentrum de Vlinderakker,11DA
Kindcentrum De Vlindertuin,08WO
Kindcentrum De Vlonder,13MT
Kindcentrum De Vossestaart,12NI
Kindcentrum De Waaier,20FB
Kindcentrum De Wegwijzer,03WU
Kindcentrum De Wegwijzer,07AU
Kindcentrum de Wentelwiek,06HL
Kindcentrum De Werf,19OR
Kindcentrum de Wiekslag,12EI
Kindcentrum De Zevenster,14BG
Kindcentrum de Zonnewijzer,12YO
Kindcentrum Dierdonk,25KH
Kindcentrum Drijber,04TG
Kindcentrum Eestroom,16NS
Kindcentrum Emmelhage,32HG
Kindcentrum Hagewinde,10VC
Kindcentrum Heidevlinder,08PY
Kindcentrum Helmgras,10OP
Kindcentrum Het Avontuur,13PS
Kindcentrum het Baken,05SC
Kindcentrum Het IJzeren Kind,03JH
Kindcentrum Het Krijt,27BM
Kindcentrum Het Octaaf,06HP
Kindcentrum Het Palet,13XM
Kindcentrum Het Palet,04NU
Kindcentrum het Rinket,05HH
Kindcentrum Het Scala,16CI
Kindcentrum Het Speleon,13CF
Kindcentrum Het Stadshart,14AE
Kindcentrum Het Valkhof,13LI
Kindcentrum Het Venster,09KQ
Kindcentrum Hiliglo,18MW
Kindcentrum Holk,12JK
Kindcentrum IJsselmonde,19BU
Kindcentrum in het Hart van het Hout,18MK
Kindcentrum Jij,04HC
Kindcentrum Kamelot,10FN
Kindcentrum Kansrijk,19YX
Kindcentrum Kasteelhoeve,32DV
Kindcentrum Kiem,09VI
Kindcentrum Kiemkade,12HG
Kindcentrum Kiezelrijk,15DW
Kindcentrum Kleinerf,11KO
Kindcentrum Kleurrijk,12JD
Kindcentrum Kornak,28AN
Kindcentrum Kornalijn,06EP
Kindcentrum Lea Dasberg,26PR
Kindcentrum Leander,14ZG
Kindcentrum LEEF,03VW
Kindcentrum Leeuwesteyn,31JN
kindcentrum Leyenburg kindcentrum voor opvang en christelijk onderwijs (0-12),17TN
Kindcentrum Marimba,04VY
Kindcentrum Meester Snel,06QE
Kindcentrum Mierlo-Hout,09GM
Kindcentrum Montessori,07AI
Kindcentrum Mosasaurus,04KM
Kindcentrum Mozaïek,10FM
Kindcentrum Muiderkring,31TH
Kindcentrum Natuurlijk!,12RS
Kindcentrum Nicolaas,06XU
Kindcentrum Noorderveld,32EM
Kindcentrum obs Sprinkels,13AA
Kindcentrum Octopus,11PT
Kindcentrum Ontdekrijk,14JK
Kindcentrum Paulus,16FU
Kindcentrum Paulusburcht,07QS
Kindcentrum Platijn,03JB
Kindcentrum Puur Sang - Loeswijk,12XD
Kindcentrum Puur Sang - Lucia,11XU
Kindcentrum Regenboog,04UW
Kindcentrum Reizenrijk,16VR
Kindcentrum Rijnvliet,31LH
Kindcentrum Rivierenwijk,14KG
Kindcentrum Robin,15EI
Kindcentrum Sancta Maria,03WI
Kindcentrum Sarphati,19BS
Kindcentrum Sittard,18ES
Kindcentrum Snijders,13RY
Kindcentrum SPEEL en LEER,05TS
Kindcentrum Speleon,15XZ
Kindcentrum St. Cyriacus,06QR
Kindcentrum St. Jozef,15CK
Kindcentrum St. Leonardus,08ZV
Kindcentrum Starrebos,08XC
Kindcentrum Stelle-Zeemeeuw,13DO
Kindcentrum Sterrebos,20KR
Kindcentrum Torenlei,03YB
Kindcentrum TROTZ!,21BF
Kindcentrum Trudo,06OF
Kindcentrum Vindingrijk,22JY
Kindcentrum Visser t Hooft,03XY
Kindcentrum Vivensa,13CV
Kindcentrum Vroondaal,16WH
Kindcentrum Warande,31WE
Kindcentrum Werelds,18KP
Kindcentrum Westerbreedte,13WW
Kindcentrum Westwijzer,06YE
Kindcentrum Westwijzer,07UU
Kindcentrum Widerode,08TN
Kindcentrum WillemsPoort,32EH
Kindcentrum Zuiderster,31LY
Kindcentrum-Wij,09XS
Kindentrum Vijblad,05GU
KinderCampus Hilversum,27YP
Kindercampus Joseph,09WE
Kindercampus King,14HM
Kindercampus Mokum,31VC
Kindercampus Molenpark,17ST
Kindercampus Oculus,23ZH
kindercampus TrioMundo,26AA
Kindercampus Zuidas,30RL
Kindontwikkelcentrum De Rank,07LW
Kindplein 't Centrum,13HQ
KindPunt Gavelanden,32ED
KJS,18GD
Klaver Fjouwer,05RX
Klaverblad,13MZ
Klavertje vier,27NT
Klein Amsterdam,31JM
Kleurrijk,03ZF
Klim Op School,03LS
Kluinveenschool,10RH
Knotwilg,13CN
Koelmanschool,03HB
Kolom Praktijkcollege De Atlant,09PY
Kolom Praktijkcollege De Dreef,27VH
Kolom Praktijkcollege De Schakel,01KD
Kolom Praktijkcollege Het Plein,10JY
Kolom Praktijkcollege Noord,26HP
Kom.Mijn,07TO
Kon Julianasch,09YZ
Kon Julianaschool,11VN
Kon Julianaschool,11HV
Kon Wilhelminaschool,08BH
Koning Davidschool,11XK
Koning Willem II College voor Lyc Havo Mavo,16MQ
Koning Willem-Alexander-school,12GA
Koningin Beatrix Basisschool,18HT
Koningin Beatrixschool,10HM
Koningin Beatrixschool,20CX
Koningin Beatrixschool,09YJ
Koningin Beatrixschool,12FF
Koningin Beatrixschool,09QA
Koningin Beatrixschool,04ON
Koningin Emmaschool,14LZ
Koningin Emmaschool,14DO
Koningin Emmaschool,08FF
Koningin Juliana-School Christelijk Basisonderwijs Heteren,04PH
Koningin Julianaschool,10RI
Koningin Julianaschool,09UW
Koningin Julianaschool,07LS
Koningin Julianaschool,11OW
Koningin Julianaschool,07PP
Koningin Wilhelmina School,04XT
Koningin Wilhelmina-School,04UK
Koningin Wilhelmina-School Protestants Christelijk Onderwijs,04OH
Koningin Wilhelminaschool,10QY
Koningin Wilhelminaschool,15PE
Koningin Wilhelminaschool,15FO
Koningin Wilhelminaschool voor Protestants Christelijk Basisonderwijs,13SF
Koningsschool,06EJ
Koorschool van het Muziekinstituut van de Kathedraal,04NR
Kortland,20OQ
KPO Kindcentrum De Stappen,08PB
"Kranenburg, School voor Praktijkonderwijs",01EK
Krimpenerwaard College voor Lyceum Havo Mavo,14WL
Kristal Gereformeerde basisschool,00GR
Kristalla,11CB
Kruidenhoek Jenaplan Basisschool,17OJ
KSE (Katholieke Scholengemeenschap Etten-Leur e.o.),00KV
Kwadrant Scholengroep  RK Regionale Scholengemeenschap voor Vwo Havo en Vmbo,21GZ
Kwikstaart,12KU
Laar en Berg scholengemeenschap voor havo en vwo,32JP
Landelijk Onderwijs aan Varende Kinderen,27MK
Laterna Magica,29UA
Laurens Lyceum voor Vwo en Havo,02UG
Laurentius Praktijkschool,26MJ
Laurentiushof,09LQ
Lauwers College Christelijk Scholengemeenschap voor Atheneum Havo Mavo Vbo,00ZV
Lea Dasbergschool,22JE
Leerrijk,07SM
Leeuwarderschoolvereniging,07LD
Leeuwenhartschool,06UQ
Leimundo,15KV
Lentiz onderwijsgroep,14YD
Lentiz onderwijsgroep,17WQ
Lentiz Revius Lyceum,31MD
Leonardo College voor Atheneum Havo Mavo,20CL
Liduina,16DA
Lidwinaschool,17AC
Liemers College SGM voor LYC HAVO MAVO VBO LWOO,16SK
Limes Praktijkonderwijs,26HN
Linde College voor Atheneum Havo Mavo Vbo en Lwoo,19LO
Lindenhage,08JY
Lingecollege voor vwo havo mavo vmbo pro lwoo,23HC
Lodewijk College voor Vwo Havo Mavo Vmbo Lwoo,31JW
Loedoes,30TE
Looschool,09CR
Lorentz,16AU
Lorentz Casimir Lyceum,25KX
Lorentz Groep voor Vwo Havo Mavo Vbo Lwoo,20TZ
Lorentzschool,19MR
Louis Bouwmeesterschool,20SK
Louise de Coligny,11VK
Lourdesschool,04TM
Lubertischool,03CL
Lucas Batau,11QK
Lucas Onderwijs Zoetermeer voor openbaar vwo havo mavo vbo lwoo,25GA
Lucas V Leyden,15NJ
"Lucas VO Den Haag Zuid-West voor algemeen bijzonder vwo, havo, mavo, vmbo",20MM
Lucas-Galecop,27PW
Ludgerusschool,20IM
Lukasschool,16HF
Lyceum Schravenlant voor Atheneum en Havo,16EI
Lyceum Ypenburg,32JT
Lyts Libben,18OM
M G R Heyligersschool,03YH
Maartenscollege voor Lyceum Havo Mavo,01UH
Maaslandcollege Scholengemeenschap voor Mavo Havo Vwo,20WI
Maaswaal College voor Gymnasium Atheneum Havo Vmbo Lwoo,00OB
Maerlant Lyceum met Afdeling Havo,20MD
Magistraal,15LA
Maranathaschool,11RK
Maranathaschool,05UT
Margrietschool,24ZD
Margrietschool voor Christelijk Basisonderwijs,13CQ
Maria Basisschool,17KG
Maria in Campisschool,08XL
Maria Montessorischool,18AR
Mariabasisschool,15BZ
Mariaschool,06HE
Mariaschool,11WU
Mariaschool,07QU
Mariaschool Langeveen,05DN
Mariaschool Reutum,06AG
Mariaschool Schietbaanlaan,17ZD
Mariaschool Taandersplein,17ZO
Mariaschool Vasse,00GV
Mariaschool voor Katholiek Basisonderwijs,10XK
Mariaschool voor Rooms Katholiek Basisonderwijs,11MK
Marienbornschool,09QQ
Marimba,32FE
Marimba Groenewoud,14FU
Marimba Sterrenkwartier,31LZ
Maris College voor Mavo Vmbo Lwoo,19ZP
Marke-School,18OH
Markland College Oudenbosch Katholieke SGM voor Gymn Ath Havo Mavo Vmbo,06XL
Markland Zevenbergen,30EU
Marne College voor Atheneum Havo Mavo Vbo Lwoo,25GB
Marnix College  Scholengemeenschap voor Gymnasium Atheneum Havo Mavo,02UP
Marnix Gymnasium,14QT
Martin Luther Kingschool,03MI
Martinus College Christelijke Scholengemeenschap voor LYC HAVO MAVO VBO LWOO,18CV
Martinus School,10GB
Master,13BQ
Master Frankeskoalle,13YH
Mattheus-School,09AJ
"Maurick College Scholengemeenschap voor vmbo, havo, atheneum en gymnasium",02QT
Mauritsschool,13IC
Mavo Schravenlant XL voor mavo en vmbo,19KM
Max Havelaar Kindcentrum ( afdeling Onderwijs),14KW
MaxX,26KR
"Meander, locatie JP Waale",13XL
Meerscholen - chr sg voor lyceum havo mavo vmbo,14RC
Meerscholen - rk sg voor lyceum havo mavo vmbo,00ML
Meerwerf basisschool Duynvaerder,15RP
Meester Baars,17CB
Meester G. Propschool,13UR
Meester Gijbelsschool,06WS
Meester Kremer-School,18ED
Meester Neuteboomschool,14IM
Meester S Wybrandisch,08AG
Meester Schabergschool voor Christelijk Basisonderwijs,17ZM
Melanchthon Christelijke Scholengroep voor gymnasium atheneum havo en vmbo,18CH
Melanchthon Christelijke Scholengroep voor gymnasium atheneum havo en vmbo,31CG
Melanchthon Christelijke Scholengroep voor gymnasium atheneum havo en vmbo,32GL
Mendel College Interconfessionele Scholengemeenschap Voor Mavo Havo Vwo,07FH
Merewade College Openbare Scholengemeenschap voor Ath Havo Mavo Vbo Lwoo,24TP
Merkelbach,20TR
Merletcollege Lyc Havo Mavo Vbo Lwoo,19RX
Merwedeschool voor Openbaar Basisonderwijs,10UA
MET Praktijkonderwijs Waalwijk,23DB
"Mezzo Scholen voor vwo, havo en vmbo",17HN
Mgr A E Rientjes Mavo,17HX
Mgr Bekkers,18BG
Mgr Frencken College voor Atheneum en Havo,02GF
Michaelschool Leeuwarden,06PV
Mienskipsskoalle  De Legeaën,04KN
Mijndert van der Thynenschool,10YA
Mijnpleinschool Wijhe,06YZ
"Mill Hill College voor mavo, havo en vwo",20BQ
Minister Marga Klompé,17RX
Minkema College voor Lwoo Vmbo Havo Atheneum Gymnasium,17AN
Misha de Vries,31PW
MKC Anne Frank Doesburg,23ED
MKC Mio Mondo,14ET
MKC Mozaïek,18XB
MMiXX,11JD
Mobiel,13RO
Moerschans,10WQ
Mondial College,21SK
Mondomijn,30AZ
Monseigneur Bekkersschool,13WS
Monseigneur J. Scholtens-School,07VZ
Monseigneur Zwijsen-School,07VA
Montessori 't Annink,15JC
Montessori + Breda,23PD
Montessori Basisschool,15IQ
Montessori Basisschool,08CD
Montessori Basisschool,07AJ
Montessori Basisschool 't Ronde,07BC
Montessori Basisschool de Eilanden,24NT
Montessori Basisschool De Getijden,19LH
Montessori Basisschool De Kosmos,22FH
Montessori Basisschool De Kraal,00FQ
Montessori Basisschool De Pas,12KE
Montessori Basisschool Houten,15FS
Montessori Basisschool Houtwijk,04EN
Montessori Basisschool Pallas Athene,05VO
Montessori Basisschool Rhenen,23CT
Montessori Basisschool Roermond,15IY
Montessori Bassisschool,16BD
Montessori Campus 0-18 (primair onderwijs),31TB
Montessori College Maastricht voor Atheneum en Gymnasium,32EA
Montessori College voor Mavo Aerdenhout,02YH
"Montessori College voor Vwo, Havo, Vmbo",00RZ
Montessori De Beleving,22OD
Montessori IKC De Groene Ring,23FG
Montessori Kindcentrum de Ontdekking,30UZ
Montessori kindcentrum de Plotter,20EL
Montessori Kindcentrum John F. Kennedy,05HC
Montessori Kindcentrum Oostzanerwerf,21AI
Montessori Lyceum Terra Nova,28DH
Montessori Schiedam,13XQ
Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo,16PS
Montessori School,18PY
Montessori School,04PR
Montessoribasisschool De Elzen,11LG
Montessoribasisschool De Petteflet,25GN
Montessoribasisschool De Trinoom,17RM
Montessorisch Maassluis,23EF
Montessorischool,03CJ
Montessorischool,05WN
Montessorischool,08CK
Montessorischool,05WS
Montessorischool  Helmond,15SY
Montessorischool Almere Stad,14QC
Montessorischool Apollo,15IC
Montessorischool Arcade,27PN
Montessorischool Azalea,20ZT
Montessorischool Boven 't IJ,20ZR
Montessorischool Capelle,31ME
Montessorischool Centrum,05WH
Montessorischool De Binnenstad,04SP
Montessorischool De Delftse Tuin,15IE
Montessorischool de Linde,14MQ
Montessorischool de Regenboog,13WU
Montessorischool De Vleugel,15QM
Montessorischool Dukenburg,07CA
Montessorischool Ede,23PV
Montessorischool Elzeneind,20KF
Montessorischool Floriande,23RF
Montessorischool Gouden Kraal,11OB
Montessorischool Haaksbergen,22KJ
Montessorischool Het Element,23VG
Montessorischool Leidschenveen,26PZ
Montessorischool Nieuwerkerk aan den Ijssel,01VR
Montessorischool Noordwijk,05ID
Montessorischool Op de Kade,22LE
Montessorischool Oudaen,21NE
Montessorischool Parijsch,27RL
Montessorischool PP Centrum,17MZ
Montessorischool Venray,30AL
Montessorischool Waalsdorp,05VY
Montessorischool Weert,21VR
Montessorischool Zuid,08CI
Mr Gr van Prinstererschool,18JY
Mr van Eijck,17AB
Mr. J.J.L. van der Brugghenschool,11CV
"Mundium College voor vwo, havo, mavo, vbo en lwoo",03XF
Munnikenheide College voor MAVO VBO LWOO,04YX
Murmellius Gymnasium,20AA
MY college voor VMBO,23AP
n Boaken,05KK
Nassauschool,09UT
Nassauschool,18BA
Nassauschool,15ZH
NBS De Sterren,15CG
Nederlands Hervormde Basisschool Bethel,06DN
Nederlands Hervormde Basisschool De Lelie,03GD
Nederlands Hervormde Basisschool De Zaaier,07EK
Nederlands Hervormde School De Triangel,08AP
Nederlandsche Islamitische Basisschool Al Ummah,24EY
NEHALENNIA Stedelijke Scholengemeenschap voor LYC HAVO MAVO VBO LWOO,20CP
Nelson Mandela,19AF
Neutraal Bijzondere Basisschool Tangram,24NV
Newmancollege Rooms Katholieke Scholengemeenschap voor Vwo Havo Mavo,14SZ
Nicolaas,18AA
Nicolaas Basisschool,04YY
Nicolaas Beetsschool voor Christelijk Basisonderwijs,11OX
Nicolaas Maes,20VJ
Nieuw Buinen 75,13XE
Nieuwe Park Rozenburgschool,06NO
Nieuwe Regentesseschool,06UD
Niftarlake College Christelijke Scholengemeenschap voor Atheneum Havo Mavo,03OY
Nijmeegse Scholen Vereniging2,17KJ
Noachschool,05TB
Nobelhorst,10FL
Noen,31CJ
Noordeinde,15YJ
Noorderbreedte,23EL
"Noordzee Onderwijs Groep voor Gymnasium, Atheneum, Havo, Vmbo",01KL
Noordzee Onderwijs Groep voor Praktijkonderwijs,13JF
Northgo College Openbare Scholengemeenschap voor Vmbo Havo Vwo,23KU
Notenkraker,18RN
Notre Dame Des Anges Havo,02QQ
Notter School Met De Bijbel,06RT
Nova College,23YU
NovaMundi,08FH
Novum Saeculum Tilburg,32JH
NSG Groenewoud voor Vwo Havo en Mavo,02VE
Nuborgh College,01FU
"NUOVO Scholen, opb. vmbo, havo, vwo",24TR
"NUOVO Scholen, openbaar vmbo, mavo, havo, vwo",17BI
"NUOVO Scholen, openbare scholengemeenschap voor praktijkonderwijs, vmbo en mavo",24TJ
Nutsbasisschool Bezuidenhout,19VA
Nutsbasisschool Boeimeer,09DE
Nutsbasisschool Burgst,21PR
Nutsbasisschool de Hoogakker,10RK
Nutsbasisschool Dirk van Veen,09ZF
Nutsbasisschool Laan van Poot,19UJ
Nutsbasisschool M.M. Boldingh,19TM
Nutsbasisschool Morgenstond,19SG
Nutsbasisschool Teteringen,30FL
Nutsbasisschool Voorschoten,06LP
Nutsbasisschool Woonstede,19VU
Nutsbasisschool Zorgvliet,19VL
Nutsscholen de Meent,08BZ
Nutsschool Beneden Beekloop School voor Basisonderwijs,04RI
Nutsschool De Ganzebloem School voor Basisonderwijs,08WD
Nutsschool Lankforst,08CO
Nutsschool voor Basisonderwijs,04SO
Nynke van Hichtumschool,12VU
O G Heldringsch Christelijke Basis Onderwijs,17RV
O.b.s. 't Fonnemint,18PT
o.b.s. De Carrousel,14HT
o.b.s. De Meander,12LU
o.b.s. De Schatkaart,12QQ
o.b.s. de Schatkist,08FG
O.B.S. Groeiwijs,08FQ
o.b.s. Het Slingertouw,27RK
o.b.s.Theo Thijssen,15EF
OBDS De Zuid-Wester,10TH
OBS 't Heidemeer,15RT
OBS 't Kasteel,09IT
OBS 't Kofschip,27RM
OBS 't Lange,10AS
Obs 't Want,12UE
OBS Akkrum,15OK
OBS Anne Frank,13RI
OBS Beatrix-school,13ZM
OBS Berkel-Enschot,32HA
OBS Buggenum,32JB
OBS Camelot,10UP
OBS Crooswijk,09GQ
OBS Da Vinci,19VP
obs Dakpark,13LW
obs Dalton de Vliegeniers,23DH
OBS de Achtbaan,13TY
obs De Achtbaan,22LO
obs De Achtbaan - Cluster,32DW
obs De Achtsprong,11OC
OBS De Archipel,26PH
OBS De Aventurijn,12NL
OBS de Blijberg,31MV
OBS De Bloementuin,18VF
OBS de Bonkelaar,21QH
OBS de Boomhut,10UJ
obs De Campherbeek,15HQ
OBS De Compositie,27NU
obs De Dennenkamp,12CX
obs De Dorpsschool,03DK
Obs De Driehoek,27YW
OBS De Driesprong,18NA
OBS De Dromedaris,24DR
OBS de Droomboom,18QK
OBS De Fonkel,12UV
OBS De Globe,16NG
obs de Gouwe,32HW
OBS De Groene Bogen,08GX
OBS De Hasselbraam,12MY
obs De IJsselhof,24JC
OBS De Inktvis,09GK
OBS De Jaargetijden,19BH
Obs De Kajuit,21OU
OBS De Kameleon,14XM
OBS De Kleine Vos,32ET
"Obs De Klimroos, samen de wereld in",27CM
OBS de Kustlijn,12TX
obs De Markesteen,16MI
obs De Marshof,15YR
OBS De Meertuin,07FE
OBS De Meerwaarde,11GH
OBS De Mient,12TU
OBS de Monchyschool,19UB
OBS De Muze,24DA
obs De Nijenoert,12VA
obs De Octopus,22JG
OBS de Ontdekking,15KI
obs De Oosterenk,16AP
OBS De Opslach,13QJ
OBS De Piramide,06BQ
OBS De Regenboog,13FW
OBS De SamenSprong,14IK
obs De Schatkamer,28BP
OBS de Singel,15YU
OBS De Springplank,18GH
obs De Springplank,15UF
obs De Startbaan,27NN
OBS de Sterappel,09FF
OBS De Sterrenborgh,17UH
OBS De Sterrenkijker,09HC
OBS De Toekan,14KY
OBS de Toekomst,20SL
OBS De Toermalijn,04HS
obs De Toonladder,14XR
OBS de Touwladder,18KV
OBS De Treffer,13JS
obs De Tweemaster,08HA
obs De Veenvlinder,18NM
OBS De Verhalentuin,03QK
OBS De Vlinder,12TR
obs De Vlindertuin,02ZF
obs De Vlonder,09RA
OBS De Vogels,10DW
obs De Werkschuit,16KE
obs De Westerburcht,18QA
OBS de Wezeboom,18IJ
obs De Wieden,16LE
OBS De Wierde,18EG
obs De Wijde Wereld,15WT
OBS De Wilgen,11RZ
Obs De Woert,18RQ
OBS de Woldstee,12QR
OBS De Woordhof,09FE
OBS De Zandhorst,18LR
OBS De Zandloper,11IR
OBS De Zandstroom,15LC
obs De Zeijer Hoogte,12DG
Obs Dr Willem Drees,17FV
OBS Driespan,13OE
OBS Gildeschool,13WE
OBS Hartevelden,23DY
OBS Henri Dunantschool,12CL
Obs Het  Vogelnest,14ML
Obs Het Festival,30UN
OBS Het Kleurrijk,14AZ
OBS Het Noorderlicht,13XI
OBS Het Palet,16FR
Obs Het Palet,17NS
obs Het Palet Hattem,11AM
obs Het Palet Ommen,12LZ
Obs Het Stroink,17QA
OBS Het Zand,29TZ
OBS IJplein,20SH
OBS J.H. Isings,12VJ
OBS Kasteel Spangen,13BC
OBS Klazienaveen,17DG
OBS Kleurrijk,24DV
OBS KlimOp,16WW
OBS Kwintijn,15SH
OBS Letterland,26PF
OBS M.L. King,16KG
OBS Mathenesse,14EJ
OBS Meander,30FZ
obs Nieuwebrug,09EG
OBS NoordRijk IKC,28DD
OBS Oetkomst,13DT
OBS Parelmoer,10MB
OBS Philipsdorp,21NA
OBS Piet de Springer,18FF
OBS Rietendakschool,16IJ
OBS Route 0513,14YF
obs Rozengaardsweide,05XX
OBS Saenewijs,09HP
OBS SamenWijs,18HD
OBS Ter Borch,18OV
OBS Theo Thijssenschool,15MW
OBS Tuindorp,17BT
OBS Twiske,20ZV
OBS Uilenspiegel,23TP
OBS Uniek,19BP
obs Villa 60,11GC
OBS Vuurvogel,18DR
OBS W.A. Scholtenschool,14GQ
OBS Walstraschool,14LT
OBS Weemewereld,10LY
OBS Wereldwijs,23TE
obs Wereldwijs,22JR
OBS Wereldwijs,15AN
Odaschool voor Basisonderwijs,11CS
ODBS Pieterskerkhof,17FL
OEC Basisschool De Welp,03OC
OEC.Basisschool De Kubus,12ZJ
Oecomenische Basisschool de Hoeksteen,12PF
Oecumenisch Basisschool Het Baken,22FC
Oecumenische  basisschool Atlantis,14DP
Oecumenische Basisschool Achtsprong,12WS
Oecumenische basisschool De Ark,06YL
Oecumenische Basisschool De Ark,06PH
Oecumenische Basisschool De Binnendijk,09QC
Oecumenische basisschool De Catamaran,06GK
Oecumenische basisschool De Driemaster,12TM
Oecumenische basisschool De Immanuel,12ZS
Oecumenische basisschool De Johannes,13WX
Oecumenische basisschool De Kinderboom,14GL
Oecumenische Basisschool De Ladder,09IP
Oecumenische basisschool De Odyssee,28AJ
Oecumenische basisschool De Poseidon,30BB
Oecumenische Basisschool De Trimaran,07AH
Oecumenische basisschool De Vijf Sterren,14LP
Oecumenische basisschool de Visserschool,13FM
Oecumenische Basisschool De Wegwijzer,04SJ
Oecumenische basisschool DOK10,14JC
Oecumenische basisschool Dr Rijk Kramer,13MS
Oecumenische Basisschool Frankendael,11LY
Oecumenische basisschool Het Museumkwartier,07HQ
Oecumenische basisschool Het Spectrum,06HI
Oecumenische basisschool Ichthus,13KX
Oecumenische basisschool Nautilus,12ON
Oecumenische basisschool Onze Amsterdamse School,13CD
Oecumenische basisschool Oranje Nassau,12LG
Oecumenische basisschool Pro Rege,13VH
Oecumenische basisschool Pro Rege Noorderhof,14AI
Oecumenische basisschool Timotheusschool,13TM
Oecumenische basisschool Trifolium,09XL
Oecumenische daltonschool De Rivieren,04LA
Oecumenische Daltonschool De Windwijzer,27XH
Oecumenische Ichthusschool,08KV
Oecumenische Jenaplanschool Molenwijk,04NC
OKC De Regenboog,14YS
Oleanderhof,11EY
Ollie B Bommel,08IV
Olympia,20XU
Olympuscollege PC RK SGM voor Lyceum Havo Mavo,05FF
OMBS Ziezo,22KU
Omnis school de Linden,11OA
Omnis school de Reiger,12IT
Omnis school de Schakel,13JQ
OMO Scholengroep Bergen op Zoom e.o. voor Lyceum Havo Mavo Vbo Lwoo,02FY
OMO Scholengroep De Langstraat voor vwo havo mavo vbo,16VK
"OMO Scholengroep Helmond voor vwo, havo, mavo, vbo en praktijkonderwijs",20JX
Onder de Wieken,13BG
Onderwijsgemeenschap de Hoeve,03OU
"Onderwijsgr. Zuid-Hollandse Waarden gymnasium, atheneum, havo, mavo, vmbo, lwoo",18TR
Ontmoetingsschool Atlas,09UA
Ontmoetingsschool De Klimbeam,06QN
Ontmoetingsschool De Oanrin,05LU
