School Name,BRIN
Basisschool De Beemden,19KV
Basisschool de Beiaard,10PY
Basisschool De Belhamel,03AP
Basisschool De Bentetop,04XB
Basisschool de Berk,11MG
Basisschool De Biekorf,06EH
Basisschool De Bienkorf,07TK
Basisschool De Biezen,06LM
Basisschool De Bijenkorf,13NC
Basisschool De Bleek,17OC
Basisschool de Blieken,12MN
Basisschool De Blinkerd,20KT
Basisschool De Bloemaert,27CB
Basisschool de Bloktempel,20GW
Basisschool de Blokwhere,13FK
Basisschool De Boemerang,27XD
Basisschool De Bogaard,16UP
Basisschool De Boge,13ZW
Basisschool De Bolleberg,07BV
Basisschool De Bolster,06KH
Basisschool De Bolster,07GC
Basisschool De Bongerd,06KC
Basisschool De Bongerd,03HG
Basisschool De Bongerd,04FQ
Basisschool De Bongerd,07RI
Basisschool de Bongerd,11HD
Basisschool De Boog,14DN
Basisschool De Boogerd,03UE
Basisschool De Boogurt,18HK
Basisschool De Boomgaard,07BT
Basisschool De Boomgaard,08UA
Basisschool de Boomladder,11RG
Basisschool De Borne,09UO
Basisschool De Bornput,32AN
Basisschool De Bosrank,16NN
Basisschool De Botteloef,15YE
Basisschool de Breede Hei,23PG
Basisschool De Brink,08LM
Basisschool De Brink,03UY
Basisschool De Bron,05FU
Basisschool De Bron,05MY
Basisschool De Bron,16DF
Basisschool de Bron,12TB
Basisschool De Bron,19VY
Basisschool De Bron,05SB
Basisschool De Bron,08XF
Basisschool De Brug,20HJ
Basisschool De Brug,10OR
Basisschool De Brug,05FM
Basisschool De Brug - school met de Bijbel,09JJ
Basisschool De Buitenplaats,05JX
Basisschool De Burcht,08YM
Basisschool De Bussel,16YT
Basisschool de Buut,12EB
Basisschool de Caleidoscoop,03MX
Basisschool de Cantharel,12VQ
Basisschool De Ceder,07RS
Basisschool De Cirkel - school met de Bijbel,03HR
Basisschool de Crijnsschool,11KM
Basisschool de Develhoek,13SN
Basisschool De Diabolo,11XS
Basisschool De Diamant,10YF
Basisschool de Dolfijn,12ID
Basisschool De Doolgaard,03VB
Basisschool De Doorkijk,08QU
Basisschool De Dorendal,05KR
Basisschool de Dorenhagen,15DT
Basisschool de Dorpsschool,11AV
Basisschool De Draaiende Wieken,03HF
Basisschool De Driehoek,06UG
Basisschool de Driemaster,12XA
Basisschool de Driemaster,12VE
Basisschool de Driesprong,15DD
Basisschool de Driesprong,12XY
Basisschool De Driesprong - school met de Bijbel,29XN
Basisschool De Driestam,17LW
Basisschool De Drift,10DK
Basisschool De Dubbeldekker,12UP
Basisschool De Duif,13PG
Basisschool de Duizendpoot,06BA
Basisschool de Duizendpoot,12ZR
Basisschool De Duyvencamp,05MK
Basisschool De Eendracht,12RI
Basisschool De Eendragt Christelijk Nationaal Onderwijs,04RV
Basisschool de Eiber,10TO
Basisschool De Elsenhof,03VX
Basisschool De Empel,10JO
Basisschool de Enk,07YE
Basisschool De Es,07YZ
Basisschool de Esch,20HQ
Basisschool De Esdoorn,08EY
Basisschool de Eshoek,11YV
Basisschool De Ester,09WX
